"Name","Key","Value"
"10.97.24.0","10.97.24.0","yes"
"10.100.8.0","10.100.8.0","yes"
"10.97.184.0","10.97.184.0","yes"
"10.128.16.0","10.128.16.0","yes"
"10.97.136.0","10.97.136.0","yes"
"10.80.98.0","10.80.98.0","no"
"10.128.17.0","10.128.17.0","yes"
"10.97.32.0","10.97.32.0","yes"
"10.80.96.0","10.80.96.0","no"
"10.97.176.0","10.97.176.0","yes"
"10.97.224.0","10.97.224.0","yes"
"10.99.216.0","10.99.216.0","yes"
"10.96.248.0","10.96.248.0","yes"
"10.78.82.0","10.78.82.0","no"
"10.80.28.0","10.80.28.0","yes"
"10.80.42.0","10.80.42.0","yes"
"10.99.168.0","10.99.168.0","no"
"10.96.244.0","10.96.244.0","yes"
"10.97.48.0","10.97.48.0","yes"
"192.168.155.0","192.168.155.0","yes"
"192.168.156.0","192.168.156.0","yes"
"10.99.112.0","10.99.112.0","yes"
"10.100.88.0","10.100.88.0","yes"
"10.80.26.0","10.80.26.0","yes"
"10.98.32.0","10.98.32.0","no"
